Dato,Skole ,Elevdag ,SFOdag ,Kommentar 
31.01.2017,Solås skole ,Ja,Ja,1
01.02.2017,Solås skole ,Ja,Ja,1
02.02.2017,Solås skole ,Ja,Ja,1
03.02.2017,Solås skole ,Ja,Ja,1
04.02.2017,Solås skole ,Nei,Nei,Lørdag 
05.02.2017,Solås skole ,Nei,Nei,Søndag 
06.02.2017,Solås skole ,Ja,Ja,1
07.02.2017,Solås skole ,Ja,Ja,1
08.02.2017,Solås skole ,Ja,Ja,1
09.02.2017,Solås skole ,Ja,Ja,1
10.02.2017,Solås skole ,Ja,Ja,1
11.02.2017,Solås skole ,Nei,Nei,Lørdag 
12.02.2017,Solås skole ,Nei,Nei,Søndag 
13.02.2017,Solås skole ,Ja,Ja,1
14.02.2017,Solås skole ,Ja,Ja,1
15.02.2017,Solås skole ,Ja,Ja,1
16.02.2017,Solås skole ,Ja,Ja,1
17.02.2017,Solås skole ,Ja,Ja,1
18.02.2017,Solås skole ,Nei,Nei,Lørdag 
19.02.2017,Solås skole ,Nei,Nei,Søndag 
20.02.2017,Solås skole ,Ja,Ja,1
21.02.2017,Solås skole ,Ja,Ja,1
22.02.2017,Solås skole ,Ja,Ja,1
23.02.2017,Solås skole ,Ja,Ja,1
24.02.2017,Solås skole ,Ja,Ja,1
25.02.2017,Solås skole ,Nei,Nei,Lørdag 
26.02.2017,Solås skole ,Nei,Nei,Søndag 
27.02.2017,Solås skole ,Nei,Ja,Vinterferie
28.02.2017,Solås skole ,Nei,Ja,Vinterferie
01.03.2017,Solås skole ,Nei,Ja,Vinterferie
02.03.2017,Solås skole ,Nei,Ja,Vinterferie
03.03.2017,Solås skole ,Nei,Ja,Vinterferie
04.03.2017,Solås skole ,Nei,Nei,Lørdag 
05.03.2017,Solås skole ,Nei,Nei,Søndag 
06.03.2017,Solås skole ,Ja,Ja,1
07.03.2017,Solås skole ,Ja,Ja,1
08.03.2017,Solås skole ,Ja,Ja,1
09.03.2017,Solås skole ,Ja,Ja,1
10.03.2017,Solås skole ,Ja,Ja,1
11.03.2017,Solås skole ,Nei,Nei,Lørdag 
12.03.2017,Solås skole ,Nei,Nei,Søndag 
13.03.2017,Solås skole ,Ja,Ja,1
14.03.2017,Solås skole ,Ja,Ja,1
15.03.2017,Solås skole ,Ja,Ja,1
16.03.2017,Solås skole ,Ja,Ja,1
17.03.2017,Solås skole ,Ja,Ja,1
18.03.2017,Solås skole ,Nei,Nei,Lørdag 
19.03.2017,Solås skole ,Nei,Nei,Søndag 
20.03.2017,Solås skole ,Ja,Ja,1
21.03.2017,Solås skole ,Ja,Ja,1
22.03.2017,Solås skole ,Ja,Ja,1
23.03.2017,Solås skole ,Ja,Ja,1
24.03.2017,Solås skole ,Ja,Ja,1
25.03.2017,Solås skole ,Nei,Nei,Lørdag 
26.03.2017,Solås skole ,Nei,Nei,Søndag 
27.03.2017,Solås skole ,Ja,Ja,1
28.03.2017,Solås skole ,Ja,Ja,1
29.03.2017,Solås skole ,Ja,Ja,1
